video_path,label
dataset_compressed\accident\171.mp4,1
dataset_compressed\accident\172.mp4,1
dataset_compressed\accident\173.mp4,1
dataset_compressed\accident\174.mp4,1
dataset_compressed\accident\175.mp4,1
dataset_compressed\accident\176.mp4,1
dataset_compressed\accident\177.mp4,1
dataset_compressed\accident\178.mp4,1
dataset_compressed\accident\179.mp4,1
dataset_compressed\accident\18.mp4,1
dataset_compressed\accident\180.mp4,1
dataset_compressed\accident\181.mp4,1
dataset_compressed\accident\182.mp4,1
dataset_compressed\accident\183.mp4,1
dataset_compressed\accident\184.mp4,1
dataset_compressed\accident\185.mp4,1
dataset_compressed\accident\186.mp4,1
dataset_compressed\accident\187.mp4,1
dataset_compressed\accident\188.mp4,1
dataset_compressed\accident\189.mp4,1
dataset_compressed\accident\19.mp4,1
dataset_compressed\accident\190.mp4,1
dataset_compressed\accident\191.mp4,1
dataset_compressed\accident\192.mp4,1
dataset_compressed\accident\193.mp4,1
dataset_compressed\accident\194.mp4,1
dataset_compressed\accident\195.mp4,1
dataset_compressed\accident\196.mp4,1
dataset_compressed\accident\198.mp4,1
dataset_compressed\accident\199.mp4,1
dataset_compressed\accident\2.mp4,1
dataset_compressed\accident\20.mp4,1
dataset_compressed\accident\200.mp4,1
dataset_compressed\accident\201.mp4,1
dataset_compressed\accident\202.mp4,1
dataset_compressed\accident\203.mp4,1
dataset_compressed\accident\204.mp4,1
dataset_compressed\accident\205.mp4,1
dataset_compressed\accident\206.mp4,1
dataset_compressed\accident\207.mp4,1
dataset_compressed\accident\208.mp4,1
dataset_compressed\accident\209.mp4,1
dataset_compressed\accident\21.mp4,1
dataset_compressed\accident\210.mp4,1
dataset_compressed\accident\211.mp4,1
dataset_compressed\accident\212.mp4,1
dataset_compressed\accident\213.mp4,1
dataset_compressed\accident\214.mp4,1
dataset_compressed\accident\215.mp4,1
dataset_compressed\accident\216.mp4,1
dataset_compressed\accident\217.mp4,1
dataset_compressed\accident\218.mp4,1
dataset_compressed\accident\219.mp4,1
dataset_compressed\accident\22.mp4,1
dataset_compressed\accident\220.mp4,1
dataset_compressed\accident\221.mp4,1
dataset_compressed\accident\222.mp4,1
dataset_compressed\accident\223.mp4,1
dataset_compressed\accident\224.mp4,1
dataset_compressed\accident\225.mp4,1
dataset_compressed\accident\226.mp4,1
dataset_compressed\accident\227.mp4,1
dataset_compressed\accident\228.mp4,1
dataset_compressed\accident\229.mp4,1
dataset_compressed\accident\23.mp4,1
dataset_compressed\accident\230.mp4,1
dataset_compressed\accident\231.mp4,1
dataset_compressed\accident\232.mp4,1
dataset_compressed\accident\233.mp4,1
dataset_compressed\accident\234.mp4,1
dataset_compressed\accident\235.mp4,1
dataset_compressed\accident\236.mp4,1
dataset_compressed\accident\237.mp4,1
dataset_compressed\accident\238.mp4,1
dataset_compressed\accident\239.mp4,1
dataset_compressed\accident\24.mp4,1
dataset_compressed\accident\240.mp4,1
dataset_compressed\accident\241.mp4,1
dataset_compressed\accident\242.mp4,1
dataset_compressed\accident\243.mp4,1
dataset_compressed\accident\244.mp4,1
dataset_compressed\accident\245.mp4,1
dataset_compressed\accident\246.mp4,1
dataset_compressed\accident\247.mp4,1
dataset_compressed\accident\248.mp4,1
dataset_compressed\accident\249.mp4,1
dataset_compressed\accident\250.mp4,1
dataset_compressed\accident\251.mp4,1
dataset_compressed\accident\252.mp4,1
dataset_compressed\accident\253.mp4,1
dataset_compressed\accident\254.mp4,1
dataset_compressed\accident\255.mp4,1
dataset_compressed\accident\256.mp4,1
dataset_compressed\accident\257.mp4,1
dataset_compressed\accident\258.mp4,1
dataset_compressed\accident\259.mp4,1
dataset_compressed\accident\26.mp4,1
dataset_compressed\accident\260.mp4,1
dataset_compressed\accident\261.mp4,1
dataset_compressed\accident\262.mp4,1
dataset_compressed\accident\263.mp4,1
dataset_compressed\accident\264.mp4,1
dataset_compressed\accident\265.mp4,1
dataset_compressed\accident\266.mp4,1
dataset_compressed\accident\267.mp4,1
dataset_compressed\accident\268.mp4,1
dataset_compressed\accident\269.mp4,1
dataset_compressed\accident\27.mp4,1
dataset_compressed\accident\270.mp4,1
dataset_compressed\accident\271.mp4,1
dataset_compressed\accident\272.mp4,1
dataset_compressed\accident\273.mp4,1
dataset_compressed\accident\274.mp4,1
dataset_compressed\accident\275.mp4,1
dataset_compressed\accident\276.mp4,1
dataset_compressed\accident\277.mp4,1
dataset_compressed\accident\278.mp4,1
dataset_compressed\accident\279.mp4,1
dataset_compressed\accident\28.mp4,1
dataset_compressed\accident\280.mp4,1
dataset_compressed\accident\281.mp4,1
dataset_compressed\accident\282.mp4,1
dataset_compressed\accident\283.mp4,1
dataset_compressed\accident\284.mp4,1
dataset_compressed\accident\285.mp4,1
dataset_compressed\accident\29.mp4,1
dataset_compressed\accident\3.mp4,1
dataset_compressed\accident\30.mp4,1
dataset_compressed\accident\31.mp4,1
dataset_compressed\accident\32.mp4,1
dataset_compressed\accident\33.mp4,1
dataset_compressed\accident\34.mp4,1
dataset_compressed\accident\35.mp4,1
dataset_compressed\accident\36.mp4,1
dataset_compressed\accident\37.mp4,1
dataset_compressed\accident\38.mp4,1
dataset_compressed\accident\39.mp4,1
dataset_compressed\accident\40.mp4,1
dataset_compressed\accident\41.mp4,1
dataset_compressed\accident\42.mp4,1
dataset_compressed\accident\43.mp4,1
dataset_compressed\accident\44.mp4,1
dataset_compressed\accident\45.mp4,1
dataset_compressed\accident\46.mp4,1
dataset_compressed\accident\47.mp4,1
dataset_compressed\accident\48.mp4,1
dataset_compressed\accident\49.mp4,1
dataset_compressed\accident\5.mp4,1
dataset_compressed\accident\50.mp4,1
dataset_compressed\accident\51.mp4,1
dataset_compressed\accident\52.mp4,1
dataset_compressed\accident\53.mp4,1
dataset_compressed\accident\54.mp4,1
dataset_compressed\accident\55.mp4,1
dataset_compressed\accident\56.mp4,1
dataset_compressed\accident\57.mp4,1
dataset_compressed\accident\58.mp4,1
dataset_compressed\accident\59.mp4,1
dataset_compressed\accident\6.mp4,1
dataset_compressed\accident\60.mp4,1
dataset_compressed\accident\61.mp4,1
dataset_compressed\accident\62.mp4,1
dataset_compressed\accident\63.mp4,1
dataset_compressed\accident\64.mp4,1
dataset_compressed\accident\65.mp4,1
dataset_compressed\accident\66.mp4,1
dataset_compressed\accident\67.mp4,1
dataset_compressed\accident\68.mp4,1
dataset_compressed\accident\69.mp4,1
dataset_compressed\accident\7.mp4,1
dataset_compressed\accident\70.mp4,1
dataset_compressed\accident\71.mp4,1
dataset_compressed\accident\72.mp4,1
dataset_compressed\accident\73.mp4,1
dataset_compressed\accident\74.mp4,1
dataset_compressed\accident\75.mp4,1
dataset_compressed\accident\76.mp4,1
dataset_compressed\accident\77.mp4,1
dataset_compressed\accident\78.mp4,1
dataset_compressed\accident\79.mp4,1
dataset_compressed\accident\8.mp4,1
dataset_compressed\accident\80.mp4,1
dataset_compressed\accident\81.mp4,1
dataset_compressed\accident\82.mp4,1
dataset_compressed\accident\83.mp4,1
dataset_compressed\accident\84.mp4,1
dataset_compressed\accident\85.mp4,1
dataset_compressed\accident\86.mp4,1
dataset_compressed\accident\87.mp4,1
dataset_compressed\accident\88.mp4,1
dataset_compressed\accident\89.mp4,1
dataset_compressed\accident\9.mp4,1
dataset_compressed\accident\90.mp4,1
dataset_compressed\accident\91.mp4,1
dataset_compressed\accident\92.mp4,1
dataset_compressed\accident\93.mp4,1
dataset_compressed\accident\94.mp4,1
dataset_compressed\accident\95.mp4,1
dataset_compressed\accident\96.mp4,1
dataset_compressed\accident\97.mp4,1
dataset_compressed\accident\98.mp4,1
dataset_compressed\accident\99.mp4,1
dataset_compressed\accident\accident12.mp4,1
dataset_compressed\accident\accident2.mp4,1
dataset_compressed\accident\accident5-1.mp4,1
dataset_compressed\accident\accident9.mp4,1
dataset_compressed\accident\video1.mp4,1
dataset_compressed\accident\video102.mp4,1
dataset_compressed\accident\video104.mp4,1
dataset_compressed\accident\video105.mp4,1
dataset_compressed\accident\video106.mp4,1
dataset_compressed\accident\video107.mp4,1
dataset_compressed\accident\video108.mp4,1
dataset_compressed\accident\video116.mp4,1
dataset_compressed\accident\video117.mp4,1
dataset_compressed\accident\video12.mp4,1
dataset_compressed\accident\video121.mp4,1
dataset_compressed\accident\video125_2.mp4,1
dataset_compressed\accident\video126.mp4,1
dataset_compressed\accident\video127.mp4,1
dataset_compressed\accident\video129.mp4,1
dataset_compressed\accident\video13.mp4,1
dataset_compressed\accident\video130.mp4,1
dataset_compressed\accident\video135.mp4,1
dataset_compressed\accident\video136.mp4,1
dataset_compressed\accident\video137.mp4,1
dataset_compressed\accident\video138.mp4,1
dataset_compressed\accident\video139.mp4,1
dataset_compressed\accident\video140.mp4,1
dataset_compressed\accident\video143.mp4,1
dataset_compressed\accident\video144.mp4,1
dataset_compressed\accident\video145.mp4,1
dataset_compressed\accident\video147.mp4,1
dataset_compressed\accident\video148.mp4,1
dataset_compressed\accident\video15.mp4,1
dataset_compressed\accident\video151.mp4,1
dataset_compressed\accident\video152.mp4,1
dataset_compressed\accident\video159.mp4,1
dataset_compressed\accident\video16.mp4,1
dataset_compressed\accident\video162.mp4,1
dataset_compressed\accident\video163.mp4,1
dataset_compressed\accident\video165.mp4,1
dataset_compressed\accident\video168.mp4,1
dataset_compressed\accident\video171.mp4,1
dataset_compressed\accident\video177.mp4,1
dataset_compressed\accident\video178.mp4,1
dataset_compressed\accident\video18.mp4,1
dataset_compressed\accident\video180.mp4,1
dataset_compressed\accident\video181.mp4,1
dataset_compressed\accident\video184.mp4,1
dataset_compressed\accident\video188.mp4,1
dataset_compressed\accident\video192.mp4,1
dataset_compressed\accident\video193.mp4,1
dataset_compressed\accident\video198.mp4,1
dataset_compressed\accident\video199.mp4,1
dataset_compressed\accident\video2.mp4,1
dataset_compressed\accident\video200.mp4,1
dataset_compressed\accident\video202.mp4,1
dataset_compressed\accident\video206.mp4,1
dataset_compressed\accident\video207.mp4,1
dataset_compressed\accident\video21.mp4,1
dataset_compressed\accident\video22.mp4,1
dataset_compressed\accident\video24.mp4,1
dataset_compressed\accident\video26.mp4,1
dataset_compressed\accident\video27.mp4,1
dataset_compressed\accident\video30.mp4,1
dataset_compressed\accident\video33.mp4,1
dataset_compressed\accident\video4.mp4,1
dataset_compressed\accident\video42.mp4,1
dataset_compressed\accident\video43.mp4,1
dataset_compressed\accident\video44.mp4,1
dataset_compressed\accident\video47.mp4,1
dataset_compressed\accident\video5.mp4,1
dataset_compressed\accident\video51.mp4,1
dataset_compressed\accident\video52.mp4,1
dataset_compressed\accident\video54.mp4,1
dataset_compressed\accident\video56.mp4,1
dataset_compressed\accident\video57.mp4,1
dataset_compressed\accident\video60.mp4,1
dataset_compressed\accident\video61.mp4,1
dataset_compressed\accident\video62.mp4,1
dataset_compressed\accident\video67.mp4,1
dataset_compressed\accident\video68.mp4,1
dataset_compressed\accident\video69.mp4,1
dataset_compressed\accident\video70.mp4,1
dataset_compressed\accident\video71.mp4,1
dataset_compressed\accident\video72.mp4,1
dataset_compressed\accident\video74.mp4,1
dataset_compressed\accident\video75.mp4,1
dataset_compressed\accident\video79.mp4,1
dataset_compressed\accident\video80.mp4,1
dataset_compressed\accident\video81.mp4,1
dataset_compressed\accident\video83.mp4,1
dataset_compressed\accident\video85.mp4,1
dataset_compressed\accident\video87.mp4,1
dataset_compressed\accident\video89.mp4,1
dataset_compressed\accident\video91.mp4,1
dataset_compressed\accident\video92.mp4,1
dataset_compressed\accident\video93.mp4,1
dataset_compressed\accident\video94.mp4,1
dataset_compressed\accident\video97.mp4,1
dataset_compressed\accident\videox10_1.mp4,1
dataset_compressed\accident\videox12_1.mp4,1
dataset_compressed\accident\videox13_1.mp4,1
dataset_compressed\accident\videox14_1.mp4,1
dataset_compressed\accident\videox14_2.mp4,1
dataset_compressed\accident\videox14_3.mp4,1
dataset_compressed\accident\videox15_1.mp4,1
dataset_compressed\accident\videox16_2.mp4,1
dataset_compressed\accident\videox17_1.mp4,1
dataset_compressed\accident\videox19_1.mp4,1
dataset_compressed\accident\videox20_1.mp4,1
dataset_compressed\accident\videox22_1.mp4,1
dataset_compressed\accident\videox23_1.mp4,1
dataset_compressed\accident\videox24_1.mp4,1
dataset_compressed\accident\videox25_1.mp4,1
dataset_compressed\accident\videox2_1.mp4,1
dataset_compressed\accident\videox2_2.mp4,1
dataset_compressed\accident\videox30_1.mp4,1
dataset_compressed\accident\videox32_1.mp4,1
dataset_compressed\accident\videox32_2.mp4,1
dataset_compressed\accident\videox33_1.mp4,1
dataset_compressed\accident\videox3_1.mp4,1
dataset_compressed\accident\videox3_2.mp4,1
dataset_compressed\accident\videox4_2.mp4,1
dataset_compressed\accident\videox6_1.mp4,1
dataset_compressed\accident\videox6_2.mp4,1
dataset_compressed\accident\videox6_3.mp4,1
dataset_compressed\accident\videox7_1.mp4,1
dataset_compressed\accident\videox7_2.mp4,1
dataset_compressed\accident\videox7_3.mp4,1
dataset_compressed\accident\videox7_4.mp4,1
dataset_compressed\accident\videox8_1.mp4,1
dataset_compressed\accident\videox8_2.mp4,1
dataset_compressed\accident\videox9_2.mp4,1
dataset_compressed\accident\videox9_3.mp4,1
dataset_compressed\accident\videox_test_T1.mp4,1
dataset_compressed\accident\videox_test_T10.mp4,1
dataset_compressed\accident\videox_test_T11.mp4,1
dataset_compressed\accident\videox_test_T12.mp4,1
dataset_compressed\accident\videox_test_T14.mp4,1
dataset_compressed\accident\videox_test_T15.mp4,1
dataset_compressed\accident\videox_test_T2.mp4,1
dataset_compressed\accident\videox_test_T3.mp4,1
dataset_compressed\accident\videox_test_T6.mp4,1
dataset_compressed\accident\videox_test_T7.mp4,1
dataset_compressed\accident\videox_test_T8.mp4,1
dataset_compressed\accident\videox_test_T9.mp4,1
dataset_compressed\normal\1000.mp4,0
dataset_compressed\normal\1001.mp4,0
dataset_compressed\normal\1002.mp4,0
dataset_compressed\normal\1003.mp4,0
dataset_compressed\normal\1004.mp4,0
dataset_compressed\normal\1005.mp4,0
dataset_compressed\normal\1006.mp4,0
dataset_compressed\normal\1007.mp4,0
dataset_compressed\normal\1008.mp4,0
dataset_compressed\normal\1009.mp4,0
dataset_compressed\normal\1010.mp4,0
dataset_compressed\normal\1011.mp4,0
dataset_compressed\normal\1012.mp4,0
dataset_compressed\normal\1013.mp4,0
dataset_compressed\normal\1014.mp4,0
dataset_compressed\normal\1015.mp4,0
dataset_compressed\normal\1016.mp4,0
dataset_compressed\normal\1017.mp4,0
dataset_compressed\normal\1018.mp4,0
dataset_compressed\normal\1019.mp4,0
dataset_compressed\normal\1020.mp4,0
dataset_compressed\normal\1021.mp4,0
dataset_compressed\normal\1022.mp4,0
dataset_compressed\normal\1023.mp4,0
dataset_compressed\normal\1024.mp4,0
dataset_compressed\normal\1025.mp4,0
dataset_compressed\normal\1026.mp4,0
dataset_compressed\normal\1027.mp4,0
dataset_compressed\normal\1028.mp4,0
dataset_compressed\normal\1029.mp4,0
dataset_compressed\normal\1030.mp4,0
dataset_compressed\normal\1031.mp4,0
dataset_compressed\normal\1032.mp4,0
dataset_compressed\normal\1033.mp4,0
dataset_compressed\normal\1034.mp4,0
dataset_compressed\normal\1035.mp4,0
dataset_compressed\normal\1036.mp4,0
dataset_compressed\normal\1037.mp4,0
dataset_compressed\normal\1038.mp4,0
dataset_compressed\normal\1039.mp4,0
dataset_compressed\normal\1040.mp4,0
dataset_compressed\normal\1041.mp4,0
dataset_compressed\normal\1042.mp4,0
dataset_compressed\normal\1043.mp4,0
dataset_compressed\normal\1044.mp4,0
dataset_compressed\normal\1045.mp4,0
dataset_compressed\normal\1046.mp4,0
dataset_compressed\normal\1047.mp4,0
dataset_compressed\normal\1048.mp4,0
dataset_compressed\normal\1049.mp4,0
dataset_compressed\normal\1050.mp4,0
dataset_compressed\normal\1051.mp4,0
dataset_compressed\normal\1052.mp4,0
dataset_compressed\normal\1053.mp4,0
dataset_compressed\normal\1054.mp4,0
dataset_compressed\normal\1055.mp4,0
dataset_compressed\normal\1056.mp4,0
dataset_compressed\normal\1057.mp4,0
dataset_compressed\normal\1058.mp4,0
dataset_compressed\normal\1059.mp4,0
dataset_compressed\normal\1060.mp4,0
dataset_compressed\normal\1061.mp4,0
dataset_compressed\normal\1062.mp4,0
dataset_compressed\normal\1063.mp4,0
dataset_compressed\normal\1064.mp4,0
dataset_compressed\normal\1065.mp4,0
dataset_compressed\normal\1066.mp4,0
dataset_compressed\normal\1067.mp4,0
dataset_compressed\normal\1068.mp4,0
dataset_compressed\normal\1069.mp4,0
dataset_compressed\normal\1070.mp4,0
dataset_compressed\normal\1071.mp4,0
dataset_compressed\normal\1072.mp4,0
dataset_compressed\normal\1073.mp4,0
dataset_compressed\normal\1074.mp4,0
dataset_compressed\normal\1075.mp4,0
dataset_compressed\normal\1076.mp4,0
dataset_compressed\normal\1077.mp4,0
dataset_compressed\normal\1078.mp4,0
dataset_compressed\normal\1079.mp4,0
dataset_compressed\normal\1080.mp4,0
dataset_compressed\normal\1081.mp4,0
dataset_compressed\normal\1082.mp4,0
dataset_compressed\normal\1083.mp4,0
dataset_compressed\normal\1084.mp4,0
dataset_compressed\normal\1085.mp4,0
dataset_compressed\normal\1086.mp4,0
dataset_compressed\normal\1087.mp4,0
dataset_compressed\normal\1088.mp4,0
dataset_compressed\normal\1089.mp4,0
dataset_compressed\normal\1090.mp4,0
dataset_compressed\normal\1091.mp4,0
dataset_compressed\normal\1092.mp4,0
dataset_compressed\normal\1093.mp4,0
dataset_compressed\normal\1094.mp4,0
dataset_compressed\normal\1095.mp4,0
dataset_compressed\normal\1096.mp4,0
dataset_compressed\normal\1097.mp4,0
dataset_compressed\normal\1098.mp4,0
dataset_compressed\normal\1099.mp4,0
dataset_compressed\normal\1100.mp4,0
dataset_compressed\normal\1101.mp4,0
dataset_compressed\normal\1102.mp4,0
dataset_compressed\normal\1103.mp4,0
dataset_compressed\normal\1104.mp4,0
dataset_compressed\normal\1105.mp4,0
dataset_compressed\normal\1106.mp4,0
dataset_compressed\normal\1107.mp4,0
dataset_compressed\normal\1108.mp4,0
dataset_compressed\normal\1109.mp4,0
dataset_compressed\normal\1110.mp4,0
dataset_compressed\normal\1111.mp4,0
dataset_compressed\normal\1112.mp4,0
dataset_compressed\normal\1113.mp4,0
dataset_compressed\normal\1114.mp4,0
dataset_compressed\normal\1115.mp4,0
dataset_compressed\normal\1116.mp4,0
dataset_compressed\normal\1117.mp4,0
dataset_compressed\normal\1118.mp4,0
dataset_compressed\normal\1119.mp4,0
dataset_compressed\normal\1120.mp4,0
dataset_compressed\normal\1121.mp4,0
dataset_compressed\normal\1122.mp4,0
dataset_compressed\normal\1123.mp4,0
dataset_compressed\normal\1124.mp4,0
dataset_compressed\normal\1125.mp4,0
dataset_compressed\normal\1126.mp4,0
dataset_compressed\normal\1127.mp4,0
dataset_compressed\normal\1128.mp4,0
dataset_compressed\normal\1129.mp4,0
dataset_compressed\normal\1130.mp4,0
dataset_compressed\normal\1131.mp4,0
dataset_compressed\normal\1132.mp4,0
dataset_compressed\normal\1133.mp4,0
dataset_compressed\normal\1134.mp4,0
dataset_compressed\normal\1135.mp4,0
dataset_compressed\normal\1136.mp4,0
dataset_compressed\normal\1137.mp4,0
dataset_compressed\normal\1138.mp4,0
dataset_compressed\normal\1139.mp4,0
dataset_compressed\normal\1140.mp4,0
dataset_compressed\normal\1141.mp4,0
dataset_compressed\normal\1142.mp4,0
dataset_compressed\normal\1143.mp4,0
dataset_compressed\normal\1144.mp4,0
dataset_compressed\normal\1145.mp4,0
dataset_compressed\normal\1146.mp4,0
dataset_compressed\normal\1147.mp4,0
dataset_compressed\normal\1148.mp4,0
dataset_compressed\normal\1149.mp4,0
dataset_compressed\normal\1150.mp4,0
dataset_compressed\normal\1151.mp4,0
dataset_compressed\normal\1152.mp4,0
dataset_compressed\normal\1153.mp4,0
dataset_compressed\normal\1154.mp4,0
dataset_compressed\normal\1155.mp4,0
dataset_compressed\normal\1156.mp4,0
dataset_compressed\normal\1157.mp4,0
dataset_compressed\normal\1158.mp4,0
dataset_compressed\normal\1159.mp4,0
dataset_compressed\normal\1160.mp4,0
dataset_compressed\normal\1161.mp4,0
dataset_compressed\normal\1162.mp4,0
dataset_compressed\normal\1163.mp4,0
dataset_compressed\normal\1164.mp4,0
dataset_compressed\normal\1165.mp4,0
dataset_compressed\normal\1166.mp4,0
dataset_compressed\normal\1167.mp4,0
dataset_compressed\normal\1168.mp4,0
dataset_compressed\normal\1169.mp4,0
dataset_compressed\normal\1170.mp4,0
dataset_compressed\normal\1171.mp4,0
dataset_compressed\normal\1172.mp4,0
dataset_compressed\normal\1173.mp4,0
dataset_compressed\normal\1174.mp4,0
dataset_compressed\normal\1175.mp4,0
dataset_compressed\normal\1176.mp4,0
dataset_compressed\normal\1177.mp4,0
dataset_compressed\normal\1178.mp4,0
dataset_compressed\normal\1179.mp4,0
dataset_compressed\normal\1180.mp4,0
dataset_compressed\normal\1181.mp4,0
dataset_compressed\normal\1182.mp4,0
dataset_compressed\normal\1183.mp4,0
dataset_compressed\normal\1184.mp4,0
dataset_compressed\normal\1185.mp4,0
dataset_compressed\normal\1186.mp4,0
dataset_compressed\normal\1187.mp4,0
dataset_compressed\normal\1188.mp4,0
dataset_compressed\normal\1189.mp4,0
dataset_compressed\normal\1190.mp4,0
dataset_compressed\normal\1191.mp4,0
dataset_compressed\normal\1192.mp4,0
dataset_compressed\normal\1193.mp4,0
dataset_compressed\normal\1194.mp4,0
dataset_compressed\normal\1195.mp4,0
dataset_compressed\normal\1196.mp4,0
dataset_compressed\normal\1197.mp4,0
dataset_compressed\normal\1198.mp4,0
dataset_compressed\normal\1199.mp4,0
dataset_compressed\normal\1200.mp4,0
dataset_compressed\normal\1201.mp4,0
dataset_compressed\normal\1202.mp4,0
dataset_compressed\normal\1203.mp4,0
dataset_compressed\normal\1204.mp4,0
dataset_compressed\normal\1205.mp4,0
dataset_compressed\normal\1206.mp4,0
dataset_compressed\normal\1207.mp4,0
dataset_compressed\normal\1208.mp4,0
dataset_compressed\normal\1209.mp4,0
dataset_compressed\normal\1210.mp4,0
dataset_compressed\normal\1211.mp4,0
dataset_compressed\normal\1212.mp4,0
dataset_compressed\normal\1213.mp4,0
dataset_compressed\normal\1214.mp4,0
dataset_compressed\normal\1215.mp4,0
dataset_compressed\normal\1216.mp4,0
dataset_compressed\normal\1217.mp4,0
dataset_compressed\normal\1218.mp4,0
dataset_compressed\normal\1219.mp4,0
dataset_compressed\normal\1220.mp4,0
dataset_compressed\normal\1221.mp4,0
dataset_compressed\normal\1222.mp4,0
dataset_compressed\normal\1223.mp4,0
dataset_compressed\normal\1224.mp4,0
dataset_compressed\normal\1225.mp4,0
dataset_compressed\normal\1226.mp4,0
dataset_compressed\normal\1227.mp4,0
dataset_compressed\normal\1228.mp4,0
dataset_compressed\normal\1229.mp4,0
dataset_compressed\normal\1230.mp4,0
dataset_compressed\normal\1231.mp4,0
dataset_compressed\normal\1232.mp4,0
dataset_compressed\normal\1233.mp4,0
dataset_compressed\normal\1234.mp4,0
dataset_compressed\normal\1235.mp4,0
dataset_compressed\normal\1236.mp4,0
dataset_compressed\normal\1237.mp4,0
dataset_compressed\normal\1238.mp4,0
dataset_compressed\normal\1239.mp4,0
dataset_compressed\normal\1240.mp4,0
dataset_compressed\normal\1241.mp4,0
dataset_compressed\normal\1242.mp4,0
dataset_compressed\normal\1243.mp4,0
dataset_compressed\normal\1244.mp4,0
dataset_compressed\normal\1245.mp4,0
dataset_compressed\normal\1246.mp4,0
dataset_compressed\normal\1247.mp4,0
dataset_compressed\normal\1248.mp4,0
dataset_compressed\normal\1249.mp4,0
dataset_compressed\normal\1250.mp4,0
dataset_compressed\normal\1251.mp4,0
dataset_compressed\normal\1252.mp4,0
dataset_compressed\normal\1253.mp4,0
dataset_compressed\normal\1254.mp4,0
dataset_compressed\normal\1255.mp4,0
dataset_compressed\normal\1256.mp4,0
dataset_compressed\normal\1257.mp4,0
dataset_compressed\normal\1258.mp4,0
dataset_compressed\normal\1259.mp4,0
dataset_compressed\normal\1260.mp4,0
dataset_compressed\normal\1261.mp4,0
dataset_compressed\normal\1262.mp4,0
dataset_compressed\normal\1263.mp4,0
dataset_compressed\normal\1264.mp4,0
dataset_compressed\normal\1265.mp4,0
dataset_compressed\normal\1266.mp4,0
dataset_compressed\normal\1267.mp4,0
dataset_compressed\normal\1268.mp4,0
dataset_compressed\normal\1269.mp4,0
dataset_compressed\normal\1270.mp4,0
dataset_compressed\normal\1271.mp4,0
dataset_compressed\normal\1272.mp4,0
dataset_compressed\normal\1273.mp4,0
dataset_compressed\normal\1274.mp4,0
